Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p0044396otph	109	94	127	79	13
p0006277c9lv	193	138	299	90	11
p0092172cys2	2	2	2	41	6
p0084466dqhf	50	30	52	36	7
p00899847bmj	15	14	22	361	33
p0002638pcik	1	1	1	46	9
p0058729karz	4	3	6	77	25
p0062385n5at	381	303	410	62	3
p0073539yztu	1881	1188	2015	65	12
p0072259hmxq	3	1	3	112	8
p0080086hgko	16	15	20	30	3
p00466045cit	4	1	4	43	8
p0008182fcm5	357	266	525	56	2
p0006856ycne	114	65	215	27	4
p0054755jia6	93	50	114	71	12
p0031986axny	69	43	76	70	19
p0093949qa87	19	18	42	70	6
p0090512nvxj	5	5	5	38	4
p0003198ov5c	313	315	328	59	14
p0009995mceo	7	4	8	54	8
p0092985djz7	164	110	202	71	9
p0087475jadx	11	6	11	57	11
p0010167nwuk	1	1	1	43	10
p0093891hfpi	2	2	2	40	7
p00226174z75	66	33	69	42	12
p0084392mamb	55	45	62	62	10
p0069824rpqd	3	3	6	45	7
p0086977p7hq	4	2	4	25	6
p0020679o8fg	289	295	479	25	3
p0012053ngqw	34	20	41	54	9
p00957114awx	135	96	152	42	8
p0093937n945	119	100	165	198	12
p00260412hv2	7	6	7	61	12
p0002793nvq9	23	19	25	102	18
p0004150xgpq	5	3	5	57	9
p0071355vwtu	77	49	80	94	11
p0000833onzo	44	43	77	45	3
p0091950ed8r	3	2	3	44	4
p00401433fum	39	30	40	57	4
p00028085tho	383	247	428	91	15
p0005665jbzf	19	12	24	46	10
p0097816yhzv	79	33	81	70	15
p0078003ghfu	1	1	2	74	7
p0006528secv	309	252	332	28	4
p0002726s8km	90	62	102	56	11
p0011079tmbm	27	20	33	40	7
p00452268rbu	27	21	30	44	8
p0069867hki7	3	3	3	72	9
p0094142poe7	5	7	55	29	3
p0050406mhcz	403	268	490	182	19
p0026218abve	367	246	408	74	11
p0012442hsyl	1	1	1	42	8
p0052804lx3s	1	1	2	91	10
p0002380gijt	267	224	348	48	6
p0070040ra4k	19	13	39	171	22
p0003482emwi	545	376	816	797	42
p0048646nkh7	30	26	30	51	11
p0012813cwxi	213	138	243	55	8
p0004209pqlh	9	9	10	33	6
p0046042yal6	46	39	51	52	6
p0073885gy82	2	0	3	79	8
p0020288xevh	302	252	340	241	14
p0059697y5fj	193	108	248	113	21
p0035301vrux	58	54	60	79	7
p0001523asqe	150	138	164	39	5
p0052800muck	26	26	30	35	3
p0002316v59z	151	88	182	103	9
p0096562oarm	1	1	1	58	11
p0010282y7dh	6	3	6	53	8
p0022657alu2	277	248	330	28	3
p0011492ztr9	14	10	14	54	9
p0005829hzle	34	29	39	33	5
p009895679eq	9	5	33	197	7
p0049626xwlh	57	47	57	28	5
p0037961hbnu	1139	799	1222	43	8
p0078610ezx6	10	3	11	50	15
p0040009hkuk	1	1	1	67	10
p0059938tucu	0	0	2	54	6
p0005617bqxu	13	11	17	55	8
p0009678opys	17	7	32	378	57
p0091914mwca	24	24	28	51	7
p0021344nktd	73	91	221	71	4
p0005396czyw	40	19	50	60	8
p00855687a9v	201	174	223	42	8
p0090403dke2	546	454	659	58	11
p0044254ntkg	128	62	156	109	13
p0040217alxu	165	125	189	39	9
p00037964ejk	255	188	306	98	17
p00717505dbh	340	238	358	49	8
p0055430blcg	370	350	497	106	13
p0097720smap	42	27	44	42	9
p0083858wx3a	3	1	21	355	13
p0087662m9bg	125	103	141	37	9
p0086556bdtk	18	18	26	47	8
p0081885ypzj	23	15	27	37	8
p0076723jhkt	1	1	1	48	10
p0082398huta	12	0	13	62	11
p0008466s2nd	104	78	106	35	5
p007103372hi	186	127	193	71	10
p0011330oref	4	4	4	42	7
p0000407kst4	3	2	7	52	10
p0069895ych9	111	104	125	31	5
p0018969oljf	80	50	170	82	7
p0007331ue43	1	1	1	29	7
p0089849kras	16	13	16	51	8
p0039117lksj	210	152	218	70	9
p0001822doba	3	3	3	55	10
p0007545h9jw	9	8	11	46	7
p0000789ja4u	76	65	85	69	10
p0077033sunp	77	54	82	47	7
p0073750pi5d	142	116	152	39	6
p0004465adfb	25	20	28	80	11
p0027607nied	5	5	6	64	14
p0035960mqnl	100	76	106	63	10
p0002349ndyf	37	27	39	65	11
p0009234hfyx	20	7	28	42	7
p0093764hp3i	4	2	4	52	10
p0056335lc3r	20	9	23	53	9
p0083853kxoz	28	13	38	60	11
p0088531pe5o	29	28	29	58	4
p0006562bz7z	41	13	41	59	9
p0071600fyuf	324	255	377	46	4
p0091945q9bm	159	153	214	140	21
p0044688qye5	29	17	30	92	15
p0065091ybhl	9	6	11	38	6
p00088757zy5	172	127	185	30	6
p0012236sokt	64	45	82	36	4
p0001081vc8k	1	0	3	47	3
p0029582erxt	104	78	108	48	6
p0096160cimg	14	13	16	37	4
p0021352tz9s	51	42	58	56	7
p0003975rmpl	95	59	103	112	11
p0067348vdjs	1	1	1	61	4
p0081711ayum	300	201	446	52	9
p0065063df9r	42	28	50	44	6
p0097772lytj	12	8	17	43	10
p0012818rbor	0	0	2	90	14
p0091190pgmr	14	12	15	70	8
p0097513tr8f	55	55	61	31	3
p002952994c3	2	1	2	52	9
p0092629dabs	93	82	101	57	9
p0028945wrfi	43	30	43	41	8
p0087062jsx2	10	4	10	42	7
p0090504jclk	122	78	141	63	12
p0095895tpbq	227	150	242	56	9
p0069682fnky	440	308	474	49	7
p0004464gpw3	1	1	2	32	3
p00997944msn	249	154	257	65	9
p0088206ugio	15	10	22	48	5
p0099823vplv	92	88	118	35	3
p0007574cdnp	214	127	235	51	8
p0071746mo58	11	8	11	53	7
p0005469n6ve	43	15	47	48	9
p0004700nbl9	44	19	45	80	13
p0010836b7zg	1	1	1	48	12
p0035932cn7j	16	15	16	49	6
p00465873foe	58	46	61	58	9
p000433252cf	3	2	3	45	6
p0020722u7rh	2	2	7	68	9
p00844905hug	117	80	124	87	13
p0037218gs2d	23	21	25	58	5
p0040986f7f3	71	55	80	101	14
p0058000ogng	112	93	120	53	7
p0043756frum	26	16	32	67	9
p0065094bakp	28	27	35	34	9
p0023723olip	78	34	88	71	12
p0029638g5an	42	31	45	41	7
p0023581wx3h	69	62	73	39	4
p0078331scfz	153	110	163	72	9
p0070607ma8t	82	55	100	52	9
p0073802zcmv	8	6	8	71	10
p0032693sk5b	500	359	535	74	9
p0012831uwsw	2	2	2	29	4
p0092261odrg	402	229	422	64	9
p0089635fifi	34	21	38	43	6
p0053616ydxa	48	40	59	51	4
p0003510xwxr	505	449	541	31	4
p0007340tspr	9	3	9	94	18
p0004776cjzm	19	13	21	59	12
p0008665khab	29	29	39	41	4
p0067269cjbo	151	87	157	41	10
p00969817lsm	8	6	9	75	14
p0002935qzik	18	16	18	41	7
p0000249xjxi	7	4	7	80	10
p0080538epx6	57	46	79	218	16
p0004271mzdi	137	144	184	41	3
p0056504qalj	7	2	10	54	11
p0081226dctd	39	35	44	61	11
p0021279a8om	228	146	259	70	9
p0078686agst	97	77	110	71	12
p0086186wo6s	154	99	166	82	11
p0010869wt8l	9	6	10	26	6
p00058817eqy	1	1	2	59	12
p0073710wnmh	4	1	4	79	13
p0012483nkxi	1	0	2	49	7
p0003889f4r7	5	4	6	50	6
p0014305pixa	126	84	143	47	10
p0062498ldzb	61	31	69	70	5
p0022319pqr3	71	54	80	59	11
p0070051drbw	42	34	47	49	4
p00985833zwp	2	1	2	45	9
p00378967sgj	41	31	43	36	9
p0084600bqky	29	28	31	37	8
p0089283u3wd	47	32	47	94	13
p0086635g8ak	101	93	109	49	9
p0043232wlci	113	86	181	51	5
p0048130jmlv	6	4	6	42	10
p0010575l4la	5	3	6	55	9
p0032480vy8p	4	4	4	49	7
p0029632lcbh	99	72	106	29	7
p0090804r946	38	30	39	47	6
p00292776a29	23	21	140	56	5
p0008230dncg	27	23	31	52	7
p0038057wiwc	337	263	366	72	11
p0091098twpt	7	7	12	81	8
p0008801jlod	82	69	124	33	4
p0005053uqd8	19	13	25	42	6
p0086641y5xb	38	25	39	49	8
p00759934hlv	7	5	7	36	7
p0010320c5da	527	322	618	166	17
p0095650cpkb	583	203	671	207	38
p0087073ugsy	219	172	242	65	5
p0085769gvng	271	199	307	56	10
p009543238iq	6	5	6	65	14
p0017358xsod	54	36	69	100	19
p0001838y2mo	155	91	167	149	12
p0070065pd3o	9	6	9	34	8
p0010173ac4k	42	31	49	52	7
p00667186xfz	15	8	21	64	9
p0046038g8hu	45	41	47	38	4
p0006055yles	51	17	60	47	9
p00710428kvp	56	51	67	44	8
p0005819dtmy	4	4	4	43	6
p0087054rkjl	259	206	308	30	5
p0069733hia5	5	5	5	62	8
p0049608b4sd	17	9	18	31	4
p0002457cikd	87	54	96	58	9
p0097775vnim	42	35	49	31	6
p0003542wulw	16	14	27	39	5
p0085871wvsb	121	78	128	48	9
p00908809tcf	100	72	112	52	9
p0004892tl2w	0	0	1	89	19
p0008101haji	15	15	28	61	6
p0086580w2ue	1	1	2	67	9
p0070507dxlc	226	172	250	43	6
p0002857dkjn	538	355	619	52	12
p00096515edq	16	9	18	35	7
p0062480kc4n	9	8	10	54	6
p0098541c8na	149	143	173	81	19
p0012693te75	3	4	6	109	6
p0009393wm4h	249	154	280	53	12
p0089936ltaj	94	68	105	59	7
p0073810u5sl	12	7	13	42	9
p0020920axoy	7	6	7	50	5
p00677619axt	65	32	103	82	10
p0073969alpq	33	25	35	39	9
p0002614ht7s	15	15	32	118	6
p0003221em5q	507	324	549	61	9
p0025550meri	469	458	485	32	6
p00482v49r	45	29	50	77	18
p0020019joc6	104	55	119	40	8
p0001875ak5y	78	52	80	36	9
p008472159qa	2	1	12	66	9
p0035970fjvz	6	3	6	74	5
p0002623omib	8	7	11	49	10
p00110235jrl	91	63	102	29	5
p0096309pnou	28	19	28	40	5
p0028435mfmo	56	47	68	58	9
p0086907oglw	29	24	41	56	8
p0007120cdrb	12	10	14	39	7
p0099839opag	5	5	11	17	4
p0091851krgl	108	67	132	53	8
p001462449cf	198	157	231	62	11
p0094819sbkh	5	4	5	73	11
p00067612lat	2	2	3	92	9
p0006620dgql	49	42	53	26	6
p0050921ge9q	134	88	156	43	10
p0066160bqbs	76	41	84	47	9
p0004230ysbj	118	108	236	24	5
p0091913cufm	73	34	76	101	22
p0096592grie	22	16	24	28	4
p0002374w9ez	61	42	74	57	9
p0097589xjbv	6	5	9	46	9
p0001839a3lq	11	11	12	63	6
p0086646lbyn	24	20	25	53	9
p0068902cxs3	505	388	569	75	6
p00274923j5f	379	342	397	79	12
p0081337dndo	24	12	36	63	15
p0098099digp	3	2	3	46	8
p0009005jq9z	15	14	18	36	8
p0003786on7t	78	57	81	55	10
p00677997b3a	70	68	77	46	6
p0057322t9q2	879	596	922	73	13
p0004847qx4u	70	47	74	72	9
p0003824ljhx	9	9	12	70	12
p0000414uvsa	33	25	35	46	9
p0030250pi2i	17	13	19	50	5
p0001242gdqy	37	20	46	81	10
p0046266wcrs	45	37	47	41	7
p00228247qbc	9	9	10	89	8
p0004956r3r4	151	97	183	51	9
p0090095xcin	6	5	7	52	9
p0001938ep7m	207	129	217	58	11
p00885639hjc	23	16	26	57	9
p0097868uswc	22	11	25	59	8
p0045157pjly	14	9	16	68	9
p0084605e4me	1	1	1	49	7
p0040358rmlr	361	328	458	74	11
p0033082svre	7	5	8	53	7
p0095398lgf9	115	106	118	65	15
p005190745ul	482	421	501	95	20
p00003104mtz	83	86	115	51	3
p00042602ken	1	1	1	42	3
p0041280kjla	3	1	3	63	6
p0091365yxij	20	17	22	84	12
p0013780h5uw	8	4	9	52	9
p0003575pqpb	1	1	2	46	4
p0088087klg9	641	580	744	44	6
p00883037lxk	26	23	28	39	3
p0004089eazp	110	89	119	55	11
p0077207taxk	3	3	3	102	28
p0077189br26	27	14	27	46	8
p0001549yhdn	6	6	6	37	7
p00010558pr7	96	94	119	81	5
p007373139p7	211	151	227	82	10
p0098814nrds	1	1	1	66	14
p0012473b7uo	8	2	9	60	6
p00944229fea	159	128	187	59	8
p0096495ui4j	413	313	472	98	11
p0096401jmqc	177	97	192	49	9
p0091677uwac	102	64	105	62	7
p0010840ot8h	4	1	4	43	4
p00083185pwe	38	21	40	54	9
p0008537vs6i	53	38	55	80	11
p00903795ef8	27	20	29	52	10
p0011103ed25	60	45	65	46	10
p0099065f3p9	2	2	6	42	7
p0096553ot6i	25	23	32	51	6
p0099344ycl3	47	32	50	66	8
p00857637syb	16	8	16	71	13
p0000747ocsl	5	2	6	51	6
p0011261tozk	33	25	35	28	5
p0099555unmj	12	7	12	44	8
p0003203aroy	6	4	15	63	9
p0098217ozm7	249	156	278	71	12
p0029597emzi	96	66	99	74	9
p00018053qid	7	7	22	231	13
p00105403dac	9	8	9	30	4
p0092815ob4o	2	1	3	57	9
p001234928kn	98	56	105	45	5
p00524528qhv	560	419	602	46	6
p0097078lcdx	1	0	3	40	8
p00087002rad	44	33	48	35	7
p0093759hyof	22	15	48	56	5
p0088637holz	12	11	12	46	6
p0045187vbea	169	150	171	41	5
p0007944lazb	5	3	5	64	12
p0086151no4e	13	10	13	38	9
p0046281zfdq	7	5	7	53	11
p00054555j5x	7	3	7	66	6
p0096320wycd	229	148	262	56	12
p00737445jnf	116	96	152	111	14
p0069660joid	50	44	58	40	6
p0002612cqbv	53	35	75	78	4
p0004941rthx	42	22	50	50	9
p0010996hxak	15	12	16	39	8
p0093671gpdu	80	87	133	116	5
p0078730vekd	192	115	219	110	14
p0092047kedk	76	47	85	69	19
p0007093fawh	1	0	1	57	10
p0084655y4tj	96	84	106	103	12
p0002248b2wz	53	51	57	36	7
p0064453wghu	46	26	54	112	15
p00860805enb	8	7	8	55	9
p0028164wdeb	13	6	15	75	10
p0032726g3ia	86	71	185	58	6
p0074703mugq	26	18	27	43	7
p0097760lomf	6	6	6	22	6
p00580535osp	15	9	17	44	9
p0084750lcfk	32	20	37	54	9
p0092226c5mq	4	2	8	51	9
p0087695ebjm	276	234	351	33	5
p00170873lkm	0	0	1	28	3
p0063967dz3e	149	118	178	39	8
p0064720ajgw	135	108	143	53	10
p00495654emg	14	10	14	40	10
p0021074fvm6	3	2	4	82	14
p00032399dry	330	293	409	55	8
p0038239mcan	73	46	81	71	8
p0074158uga4	21	13	24	65	11
p0001853bijw	125	70	155	76	10
p00823995zjr	120	80	130	71	9
p00205842yxk	3	2	3	35	8
p0006801zf2w	150	91	180	39	3
p0099398qaoz	116	68	159	52	10
p0058384mevy	128	79	134	81	14
p0005750bxfm	258	169	284	96	9
p0059005td89	10	9	19	48	6
p0072111uk9f	41	34	50	43	8
p0064743qlay	38	43	68	31	3
p0091379qd4g	73	36	79	69	12
p0084001byxo	108	78	113	61	12
p0070975u4ch	30	19	71	57	7
p0079571jwox	41	39	42	85	9
p0071956epdq	15	13	15	56	7
p0052846kgnl	91	58	96	57	17
p0069408z659	7	3	7	54	11
p0099093le5t	107	110	132	76	10
p0094370covw	0	0	1	57	10
p0006760a7bp	4	4	7	34	7
p0093683qsdh	167	167	184	36	4
p0090768u4ak	2	2	2	48	8
p0039016lmc2	188	132	219	52	9
p0025494b3rs	338	304	387	23	2
p0086983swfb	53	56	70	33	5
p00720965pov	162	118	179	46	9
p0088603mo9u	27	26	29	50	6
p0005859huep	4977	3434	5203	73	12
p0097937hn6d	49	45	60	100	20
p0095400a7sf	64	43	74	33	8
p0027589pj6j	87	63	124	66	9
p0001299etaw	100	81	115	63	6
p0090972xab2	70	64	73	48	9
p0091623aclc	12	11	12	61	9
p0004205mr9f	48	41	50	43	4
p0012618na9w	171	118	195	40	9
p0053897hig7	368	323	388	44	8
p0092855z36f	65	46	72	93	9
p0062402yzkl	10	9	11	51	7
p0024418bn73	63	47	69	71	8
p00011749smg	209	146	241	54	8
p0095392lhst	43	32	49	62	10
p0093043qaj6	43	34	44	53	9
p0084895wtza	1628	1242	1740	69	9
p0095420ehtc	24	10	29	50	9
p0004458c2oy	54	47	57	54	8
p0029525esf5	5	3	5	34	7
p0057724dgog	80	70	85	49	10
p0092520pjrz	138	108	157	37	5
p00277943bta	70	38	102	35	6
p0099489gtbt	115	91	139	49	7
p0078575kxqo	23	14	33	139	22
p0081762tepw	94	72	100	52	8
p00910192epq	177	155	190	35	5
p0008034hwbw	35	34	38	50	6
p0082879ncuk	90	71	100	87	11
p0073485dcsz	13	13	13	40	7
p0069942hpht	4	3	6	53	9
p0009140qt37	0	0	3	11	2
p0072455peuv	36	33	48	46	7
p0011912upol	5	3	5	47	8
p0042375fotf	40	21	45	41	12
p00519233ywe	93	63	114	59	8
p00223089ced	4	2	4	44	7
p0085465nwe5	521	373	551	52	7
p0003259ofqj	488	337	813	65	7
p0064773cqbo	128	57	136	41	10
p0007631cbdu	71	38	78	39	8
p0074129bigb	121	69	131	68	10
p0008907vty3	1	1	1	32	8
p00721443yli	44	30	45	87	6
p0042162b8qa	90	75	97	47	5
p0005839piri	1	0	1	61	9
p0070681fvi6	10	9	20	61	4
p00072855hua	2	1	2	36	5
p0092941fjvm	91	71	103	61	11
p0088836j2rj	26	17	28	61	9
p00399649yxb	258	142	277	45	7
p00959149l65	76	59	81	48	8
p0078754bkhr	35	35	36	38	3
p0035352zql4	3	3	3	55	5
p0044335dh3c	3	3	3	131	14
p0003079aq9y	461	356	484	102	23
p0084992cm8a	259	159	279	51	14
p0097913vxzf	34	20	35	56	9
p0032094yqdw	62	31	77	68	10
p00864076t8p	22	11	26	60	11
p0001940foim	15	12	16	55	6
p0096724j9qa	32	25	33	45	9
p0030242bvds	122	72	125	55	9
p0008864tqdl	2	2	3	34	5
p008882943rl	13	13	15	54	5
p0025591klw2	24	12	45	46	4
p00067038adb	17	15	17	32	5
p00174394voj	111	93	118	40	9
p0059205dsix	47	33	56	55	8
p0002307mylk	92	55	109	83	13
p0081982bryp	95	56	99	53	9
p0036716efzr	29	29	32	49	5
p0088203fagl	256	180	302	100	11
p0016202broi	5	2	16	89	15
p0045216orad	30	21	48	64	10
p0009826ty9b	14	12	14	40	6
p0092061svwl	6	1	7	43	5
p0001258arnk	14	12	14	27	6
p0024332sjza	154	110	160	65	9
p0088516h9oj	42	28	46	84	10
p0022297hr4f	13	5	14	38	7
p0004420pt4p	438	348	491	61	12
p0011167o8nr	145	110	153	82	8
p0093777nqzw	80	55	86	78	10
p0094245ebyr	195	119	230	85	13
p00770479t7n	82	68	118	29	5
p0012606kqwu	2	2	2	28	6
p0069166kwoh	13	13	13	36	6
p0002938qjoi	1	0	5	147	8
p00512576wsb	140	86	166	105	19
p00146482tic	48	42	56	74	6
p0071901ar2g	61	37	71	77	9
p0033824rv7r	14	13	23	62	6
p00639639rtx	20	16	23	77	11
p0087496xysk	68	57	104	86	6
p0043790fbgs	18	14	20	71	11
p0096705cjf2	447	333	482	67	10
p0059986xtxg	75	54	79	94	14
p00956352awf	11	9	13	35	9
p0083135byxr	45	33	53	72	10
p0010247hsut	37	28	37	35	7
p0094970j3wc	110	79	115	51	6
p0020272kfvh	151	129	160	37	6
p0002624r95m	12	6	14	53	15
p00086432q7x	200	190	221	45	7
p0054398ci4h	1	1	3	40	7
p0074604fua9	12	9	18	109	15
p0088325l4qe	8	5	8	49	9
p0080492dhc6	376	336	419	85	12
p00085548xhz	1	0	1	49	9
p0009804u6nm	1	0	1	98	8
p0000642glox	1369	1079	1598	86	7
p0028306jlwu	8	7	12	64	7
p0087738pcbf	43	27	46	47	9
p0007933pjfq	2	1	2	53	9
p0042700uhq5	79	72	80	46	5
p0046667azwi	2	2	2	59	12
p0010420hs2r	1	0	11	81	10
p00277407atd	195	179	208	42	6
p0047426vk85	21	20	22	32	5
p0010338zjrs	7	3	7	53	5
p0035941sxfl	25	20	25	41	11
p0030637a3k8	0	0	1	53	6
p0097074xrbt	179	149	199	88	11
p0090019tejo	70	59	75	34	4
p0001795f6cz	184	151	252	42	6
p0044951pgeh	54	36	59	46	9
p00366319idi	1	1	1	43	11
p0095610oefv	102	72	118	58	11
p0086884exgi	288	243	312	55	12
p0003884x7lt	8199	6804	8597	45	7
p0049283yzvr	75	63	86	57	5
p0088535vd3t	25	24	25	122	22
p0056696trdf	9	7	12	59	10
p0046177ejdb	15	10	15	59	7
p0031551qo6y	265	186	285	46	9
p0001495qbzl	159	121	200	50	6
p0039629a95r	38	26	40	73	9
p0006162czgl	188	162	203	48	7
p0084924uckx	19	15	20	63	10
p0005003soub	3	2	3	52	9
p0003401afo8	68	31	73	40	8
p0011006n4ai	13	10	15	77	4
p0001298yv5w	94	62	103	80	10
p0046598vm29	1936	1296	2080	67	11
p0002629aqwn	97	79	183	140	11
p0071559za6o	55	44	61	32	6
p0066966expg	3	3	3	49	7
p0011210gsdy	116	91	132	35	8
p0038013l9gl	152	120	159	46	10
p0003487aoim	312	252	347	40	7
p0004879uyzf	66	65	74	50	6
p0000412xcu5	416	298	471	155	27
p0045635qfm4	6	6	6	33	3
p0098747oebr	12	13	15	23	3
p0058970cxp9	11	8	11	53	8
p0011092flje	3	2	3	49	10
p00664743yjq	2	2	3	33	7
p0074832o9lr	21	16	26	50	9
p0066992pmgf	344	216	368	41	9
p00999735be2	14	9	17	48	9
p0008737xcbf	5	5	5	64	13
p0087140phed	47	36	110	81	9
p0085285wod8	1679	1618	1742	62	13
p0040466u7ta	10	6	11	36	7
p0046535mtsh	259	200	271	58	7
p00087848hog	1	1	1	27	6
p0012470upkm	20	8	21	38	9
p0019513qwbw	66	51	69	52	10
p0002978fdbf	158	96	177	42	6
p0099447pnhz	128	120	169	84	4
p0007042swbo	15	13	15	41	5
p0065237aknt	247	166	261	68	9
p0085496nfok	93	77	100	50	5
p0022795tfbd	17	14	18	48	7
p0010571rdaj	14	10	17	29	7
p00877218dy5	23	17	24	45	3
p0005006dpmw	16	9	17	75	12
p0040328alpd	12	12	13	44	5
p00046008exf	111	79	120	62	13
p0087058u5th	97	80	100	59	6
p0097447rzsh	2	2	3	41	8
p00105048aj9	4	2	5	54	13
p0065114vazb	12	12	12	34	6
p0091352h9mz	952	655	1033	58	12
p00857304gbf	37	37	43	39	3
p0001137dfc9	10	10	11	43	8
p0001829zwj6	99	72	114	88	14
p0067323susd	96	81	108	64	9
p0090875yuoc	24	16	24	81	9
p0059528gqj7	96	87	119	48	6
p0052506zpsj	22	9	23	153	20
p0079114lpzi	71	55	78	39	6
p0022289g9ws	8	7	8	60	10
p0009015ub42	36	26	48	47	6
p0025774mezd	29	22	35	55	9
p0097809vbk7	15	8	19	45	7
p0002878nmbu	243	232	257	52	6
p0069093lbjw	0	0	2	99	4
p00488156ikd	3	1	3	85	19
p0097237uels	566	379	590	44	8
p0013784ebso	15	14	18	37	6
p0092551jdeo	74	54	96	46	7
p0057395uwma	29	18	30	38	8
p00747742lqj	12	6	12	43	7
p0021890mj5q	37	37	238	35	2
p0032485fts5	27	21	40	98	14
p0098906gcdh	40	27	48	55	9
p0018134bdrx	149	81	166	87	13
p0035972w5xd	83	51	105	59	15
p0004999nhcv	242	189	254	27	6
p0018360zhi2	94	63	96	42	8
p0009939gksl	54	48	56	59	7
p0003731aqnv	11	10	12	25	5
p0090462lpb2	50	43	59	101	8
p0005589kb3l	5	0	5	17	6
p00928549pxc	23	18	30	33	5
p0098704e95n	153	130	164	63	6
p0009919tsiw	73	55	76	32	8
p0060005djed	15	9	16	41	7
p0087059bpcm	16	20	31	62	10
p0085257oeha	50	43	56	68	5
p0086122nsjf	11	3	11	61	12
p0092964obx3	23	16	25	42	10
p0088140yq3j	31	27	43	114	11
p0087994yvcs	16	11	16	37	8
p0063968oupb	31	27	42	95	4
p0008955c8db	4	3	4	58	10
p0003719moti	46	39	47	51	9
p0004477uvtf	128	105	145	44	9
p0005941bc9g	25	7	30	78	8
p0063964cixo	9	7	9	65	8
p0091015vkcq	145	105	152	64	9
p00035353a4f	19	17	25	55	6
p0044474hnzy	260	160	266	46	9
p00621993cob	9	8	10	71	12
p0003487srk7	14	4	15	57	10
p0087753at9a	174	119	182	156	20
p0039679tmdf	38	25	72	60	5
p0088287o5tp	46	42	51	46	5
p0017091tezy	19	16	19	59	9
p0012858tfzn	29	27	31	51	8
p0097339ntoz	35	24	38	34	8
p0095439fpkh	66	60	79	61	6
p0049438gnkt	46	28	47	64	11
p0093681jvfe	46	38	46	55	9
p0010291o9gh	0	0	2	35	7
p00786523l3f	1	1	3	49	9
p0006611makl	36	27	41	51	11
p0052549yexh	7	2	9	42	6
p0001096hbp2	13	14	25	39	4
p00025317wni	7	7	10	93	14
p0012333wgkz	12	10	13	58	5
p0003876cprb	11	11	12	47	10
p0038724ybkh	34	26	35	53	8
p0000331aobs	78	56	86	44	7
p0097833bipx	59	44	59	64	8
p0011066yltx	6	1	8	38	6
p00126743y6k	4	2	4	25	6
p00798059gcf	145	95	158	40	14
p0002954lyvr	59	55	63	84	11
p0063558fnvy	485	377	555	50	6
p0097993ausx	22	19	30	26	6
p0095157rtad	58	35	69	57	6
p0093688rpiu	192	149	213	72	7
p0087439kjhs	17	17	17	27	5
p00907126xvo	79	70	81	70	7
p0045915uvcp	194	228	351	69	6
p0042272a2zq	227	165	309	97	20
p0014377ynlq	0	0	1	106	6
p0006056tgjv	777	524	825	99	11
p0009882upzu	17	16	17	51	5
p0092835fdwu	125	83	192	126	5
p00938785tli	18	18	18	27	6
p0073247m7ot	101	73	109	54	7
p0085775g2zm	162	142	172	60	7
p0004104jarq	5	5	6	115	15
p0086155mltn	8	5	8	71	15
p0005571kg43	19	17	23	41	8
p0002952vd3w	3	3	4	63	14
p0009131jimq	57	26	92	69	6
p0006295txfo	354	260	367	44	7
p0099329kx49	43	30	45	43	7
p0083739ds25	4	2	5	47	9
p0002889arwh	69	38	75	84	10
p00237112agp	75	62	81	111	8
p00022397f49	1	1	2	69	11
p0004313jpcx	0	0	1	54	9
p009374636vy	308	195	329	86	13
p00865967fdv	1	1	1	37	3
p0060636sf9v	226	194	243	41	6
p0099578jcsw	134	112	148	59	7
p0030490dckd	75	65	90	54	7
p0060088cn9h	15	15	16	41	9
p0047061cgqf	25	12	28	39	3
p0004215nmgc	29	13	33	52	5
p0096456faxq	1	1	1	39	9
p0006768evhg	56	28	71	93	9
p0011129cygi	37	35	44	49	6
p00906827ync	8	9	9	51	7
p0065929jrgb	0	0	1	114	16
p0067456ehsh	334	311	357	75	8
p00745309cga	26	11	29	80	11
p0005836f7ak	2	0	2	49	6
p0096726hwsg	3	2	3	52	9
p0019018a6pu	121	87	132	82	9
p0097729bvfr	15	15	16	29	4
p00801536rpu	42	42	44	24	5
p0007313fdbs	24	14	29	89	12
p00114908izk	11	9	11	26	6
p0053316nvtq	175	109	205	61	10
p00030365evm	2	2	7	73	10
p0032583u6mi	23	23	26	66	4
p0096557crdz	51	42	59	55	4
p0084851cweh	14	14	20	25	5
p0006968bo8f	2	1	2	50	4
p0007765qjri	41	32	70	30	5
p0007145suim	29	16	33	91	18
p0060628wcwf	19	15	22	28	4
p0013894sj25	45	37	49	35	3
p0004236orbf	1	1	1	54	10
p0000495qfqn	14	5	14	161	13
p0089863boma	12	12	12	36	5
p0000834b8we	27	21	33	44	8
p0012869sn8p	2	0	2	27	3
p0012557ckxu	49	25	58	55	10
p0062496xyg3	363	203	382	55	10
p0057608vjql	54	41	61	52	13
p005070484jx	165	92	172	89	9
p0017402ye6x	2	2	2	48	7
p0045312uofy	114	111	124	86	5
p0018954an5c	162	113	169	42	7
p0017556afq2	89	56	117	92	10
p00226848fc2	2	3	12	53	9
p00847984hzm	8	8	8	59	6
p006476575wa	0	0	1	27	5
p0007255rnlb	15	11	25	78	10
p0078565azmz	7	3	9	57	7
p0088294zcbu	309	216	335	41	7
p0045670xcpb	5	3	5	58	9
p0068883lbip	10	8	11	45	9
p0014605cr9c	27	20	27	38	9
p0011379xchk	4	2	8	46	4
p0087055n3o2	47	47	50	36	5
