Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p0049710ndbi	32	21	36	56	9
p0004322ab6i	0	0	1	44	8
p0073737c7sf	135	83	140	66	10
p00395712n5d	41	40	70	62	4
p0086125c3xn	71	68	87	37	3
p0099089a7y3	130	112	140	54	8
p0095663dxi2	469	217	529	63	9
p0061845tgi5	128	102	156	81	14
p0099754cl9p	2	2	2	40	7
p0092480sbi8	41	35	41	68	10
p0052445yuah	34	23	38	39	7
p00776388ntj	6	0	8	49	7
p0001942wgbt	8	8	10	33	5
p0000342c5qc	23	16	24	48	10
p0074524rd2g	15	8	18	41	8
p0046698ewht	79	64	83	45	9
p0049622tsms	2	2	2	30	7
p0082885958w	152	117	161	55	9
p0089334niok	2	0	4	130	7
p00688219ecy	222	182	241	50	12
p0070884ecav	151	119	160	38	5
p00034865nju	99	65	105	64	9
p0032173bvmx	10	7	10	94	10
p0078104zrjv	129	80	146	72	13
p0003766f2qt	71	36	108	55	7
p0096255xnav	18	16	19	64	12
p0082704j34n	229	184	287	39	4
p0007491njhi	3	1	4	36	4
p0072271uifa	26	12	44	110	8
p0014323dhu8	132	90	155	49	7
p0015163fgxc	290	259	459	92	12
p0099908d4gt	49	24	52	58	15
p0011674tgnr	9	8	11	73	6
p0000608zfio	19	16	19	47	6
p00129485uf6	6	6	8	62	10
p0000344nzev	434	310	517	43	9
p0006395ajzx	209	123	222	78	11
p0009748klaf	4	6	7	41	8
p0001193lukc	3	2	3	64	9
p0090343ldtq	13	11	13	97	9
p0095776kg2b	509	347	549	43	12
p0098655ayrk	8	3	8	58	11
p0060021bpzt	32	23	33	49	11
p0072038ckjk	13	7	43	49	8
p0012838v3om	17	17	25	33	5
p00892659ztd	112	107	116	39	4
p0087697rczq	94	87	99	30	4
p0097510h6xl	12	7	22	28	5
p0099090uqtf	112	76	120	51	9
p0010191mids	45	36	48	54	9
p0073955bkty	49	41	67	89	7
p0072624vaes	10	3	35	274	3
p0030512zrpt	9	7	9	121	13
p0092221bmp5	6	3	6	56	5
p0020674ke8f	469	321	534	46	10
p0052938jwxz	8	8	8	46	3
p0086059t2f6	17	17	18	45	7
p0089964jx4f	41	21	42	57	12
p0094293tojx	246	172	257	87	17
p0028165sbco	401	312	412	45	11
p0000425ldcw	1	0	1	52	9
p0014458rxzb	6	6	6	27	7
p0083893gcea	4	4	5	45	6
p0006335kcn2	241	165	276	48	7
p0036246z9tq	40	36	54	45	5
p0004552b52f	589	549	675	71	12
p0026084kset	22	19	23	53	9
p0093719a7kj	738	576	764	77	12
p0017415brf4	174	146	214	41	7
p00914667o9s	19	13	20	43	8
p0007324evf4	4	4	4	27	7
p0009621n6fv	10	8	12	53	13
p0003025k56n	42	29	51	93	14
p0095214khwx	36	35	39	129	12
p0036039pej2	68	68	70	58	4
p0073895mnsn	77	66	82	44	6
p0056528f2pw	33	28	41	40	8
p0068505cfc9	31	18	51	84	8
p0091551bnih	24	24	26	41	6
p0007294biev	7	7	9	50	4
p0034007fynb	154	97	173	47	8
p0007701ums6	49	41	51	64	12
p0003955jaod	31	11	41	44	8
p0003944qnib	278	199	316	45	7
p0094033ka92	117	81	129	57	9
p0046594neso	107	66	121	36	8
p0037965de4q	10	6	12	73	6
p00929217ymd	10	5	11	86	16
p0099019uwbc	73	75	100	16	4
p0055762mao3	199	167	215	50	11
p0098218db7c	0	0	1	54	10
p0037173o3ge	20	16	22	84	11
p0001395aznc	11	10	11	45	5
p0070778maup	33	32	51	31	3
p0028693pmyd	46	34	48	41	8
p0067304him4	173	130	178	61	10
p0028603jnbj	19	19	24	178	10
p0003001hngy	22	16	25	67	7
p0077322bnmy	33	27	33	45	6
p0096983oixu	3	2	3	73	10
p0063459nj3g	102	86	105	54	11
p0045697gew9	2	1	3	63	8
p0005852skig	160	92	186	65	9
p0038041md7l	87	60	93	90	19
p0009800bkcb	249	135	302	49	8
p0003257pg3f	19	16	19	50	9
p0007018b7jo	22	19	22	27	4
p0079150fs7f	1463	1028	1549	50	7
p0053988prmf	329	249	361	68	6
p0099967yins	8	8	8	57	7
p0040033srac	24	20	25	38	5
p0040020mdla	49	27	52	44	9
p0003489fdcb	20	15	22	84	17
p0078389gnhy	1	0	1	69	7
p0040360lqza	154	127	165	73	13
p0088204exao	17	16	19	52	6
p0086183adaq	65	44	70	37	6
p00922433cf5	21	20	23	51	5
p0056694jgrn	265	173	284	71	14
p0062160okji	281	208	314	93	6
p0005253kofr	28	26	45	80	9
p008695943ap	7	6	8	74	9
p0051476oq3z	63	47	88	94	9
p0007186v5aw	47	47	52	68	3
p0003674q6ig	20	12	23	36	6
p0004236etvm	1	0	1	98	17
p0035936cbh3	60	38	64	54	9
p00083519cac	98	69	99	34	6
p0096688ve69	15	12	17	40	7
p0012909dpvd	8	8	8	26	1
p0009458w5hl	1	1	1	47	7
p0099040b6wj	1	1	1	52	5
p0004135xs5j	10	9	11	72	8
p0001238f7vi	1001	866	1130	80	10
p0073375qhv5	14	10	16	37	5
p0000224uwhn	42	40	42	72	3
p0015167hxam	238	188	253	66	12
p0037039kbrz	80	62	95	34	7
p0088999wc5x	993	944	1014	35	7
p0001311sfzr	74	54	89	59	11
p0030945nxkf	2	2	3	65	10
p0069098tjhl	24	17	30	108	19
p0095593br7a	11	6	11	49	9
p00003648nqi	126	113	178	66	5
p0092819fkcd	75	62	122	146	6
p0092795f5oa	40	28	43	54	9
p0001613ehdo	7	3	8	57	10
p0011507ezcu	7	6	7	34	6
p0069193mpgs	16	16	18	31	3
p0094816uygi	303	189	392	63	10
p0081706wdkp	31	21	32	55	8
p0012455yexu	22	15	26	28	7
p0095282nmyr	260	244	287	37	4
p0004323f2nw	157	128	176	54	4
p0055715he4r	1	0	2	46	8
p0050185lqfk	4	4	4	46	6
p00149092jyt	229	148	276	76	9
p0081574te7h	278	233	284	82	15
p0096170sliv	20	18	36	124	10
p0098558adc9	155	115	164	69	10
p0087717zrlg	121	108	132	60	10
p0085545b7kw	8	7	8	46	7
p0075506vkvx	116	60	120	70	9
p0006110vcmo	33	15	33	44	8
p00995638gm6	5	1	5	53	13
p0006118uh4e	8	3	8	52	9
p0010103re9g	573	368	596	31	5
p0059586cwb3	5	3	6	117	13
p0079372tj3g	4039	3169	4428	55	7
p0015976ea59	204	139	220	53	11
p0078345ahej	72	68	75	73	4
p0070609uecb	789	539	853	45	11
p0083123ghji	101	77	105	139	18
p00472804f5o	1	0	1	62	6
p0083043dns2	92	64	102	73	14
p0007231rzfw	6	5	8	39	4
p0094378eynr	198	121	253	55	6
p0095387agdb	40	28	47	62	9
p0088513hkfz	24	18	55	34	3
p009195976tk	102	90	118	35	5
p0085588swvh	23	18	24	45	6
p0011052ubkv	9	8	10	25	4
p009230537is	8	8	11	35	3
p0089053sxrn	69	47	74	78	11
p00061384vj4	47	32	53	47	6
p00425z4gu	5052	3266	5358	49	6
p0010372h5vn	1	1	1	25	4
p0086883hi29	110	79	113	64	9
p0012830h3li	5	5	5	42	4
p0076566bgtc	119	90	134	41	9
p0086348pw3i	8	5	8	53	9
p0035320r3sh	1	1	1	62	6
p00910143hvx	44	27	51	56	10
p0091474tg4q	41	24	49	48	8
p0095447yzni	12	7	12	97	34
p0005469hekl	6	2	12	135	12
p0041547ufzy	9	8	9	36	7
p0064797hpjr	0	0	1	43	7
p0034466pxay	371	263	420	52	6
p0090416m9aw	14	5	26	124	15
p0005828vikn	7	5	7	28	4
p0003351fgnt	38	30	39	58	7
p0046674b3bj	3	2	3	171	13
p0061299jmtv	12	9	14	52	9
p0008545wyft	22	18	25	34	5
p0047451m5gj	85	61	91	70	11
p0005402r3dy	268	180	284	52	9
p0004462plbm	8	8	8	45	7
p0079680cwi3	39	17	40	81	14
p00135614o3a	0	0	1	47	12
p0012230k4pz	14	7	23	51	6
p0005834lpgw	5	4	5	41	4
p0091561ef4z	143	142	177	24	3
p0006022cxv6	1	1	1	33	6
p0005086moui	814	659	878	35	4
p009983176ed	2	2	2	47	8
p0099648qmsu	40	14	42	62	10
p0001703er8y	5	3	8	74	14
p00816839ipj	25	18	26	47	9
p0000798jh2f	12	9	15	54	9
p0006105ha9w	8	4	11	83	9
p0076691estu	9	8	11	60	6
p0000400tack	122	80	132	42	7
p0012069efnc	4	4	4	18	2
p0096431jin9	2	0	2	62	11
p0030905mxwe	35	33	39	29	6
p0092811bmoa	6	5	7	56	10
p0028277qr34	35	27	37	58	5
p0066369h6tj	159	141	220	56	8
p0042835plg7	137	87	158	77	7
p0001460hn4i	16	14	17	45	5
p0097379mrmg	1	0	1	44	6
p0088572la9p	195	142	206	104	11
p0085178d642	25	20	35	62	9
p0084652cune	1218	714	1303	95	20
p0054603pskx	121	92	130	59	7
p0007149xnv5	2	0	3	43	11
p0086425oa9u	18	10	20	46	9
p0093667vhgk	50	51	52	30	5
p0065469po4c	44	25	46	119	14
p0059213bz36	46	24	49	59	9
p0086862vcd8	329	266	359	46	7
p0092513bcbl	16	15	16	41	11
p0087588kdzc	111	88	148	46	10
p0059175e6yc	68	53	68	50	8
p0003022edyq	16	11	19	40	7
p0089883tz4r	30	28	39	39	4
p0005814ujmf	45	25	105	68	6
p0079677o6qu	30	12	36	74	11
p0078225kdmk	11	10	18	33	4
p0061215uxym	10	8	18	82	8
p0003752u7tz	24	20	28	54	8
p0093100eqnc	14	14	23	46	6
p0096058tdx4	69	59	74	56	4
p0003673dhrv	12	12	16	104	13
p0012476unt7	30	16	36	28	6
p0007234m7rh	111	69	141	41	4
p0092427ksgl	25	21	26	53	9
p0099567c8kb	10	8	10	40	6
p0054238oqbu	10	10	13	68	6
p0031447tczf	613	403	668	61	10
p00953784goq	239	125	271	54	8
p009481538yx	1984	1351	2137	77	9
p0003972dt6w	3	2	3	60	12
p0095949naef	203	131	208	47	9
p00101026yws	33	17	39	108	10
p0092813ryid	96	91	122	97	5
p0099179xtd8	4	4	4	51	10
p0062667hycg	42	18	48	58	12
p0087750dfd6	56	39	58	76	17
p0083121f4o3	274	168	305	62	10
p0003734p65v	899	610	956	59	11
p0003044x8cq	132	94	135	63	12
p0081981lsjc	369	252	411	55	14
p0026251qvlf	28	20	29	40	10
p0054676rsqx	807	512	924	108	20
p0010876rpqc	11	1	14	49	4
p0034367g6rf	603	536	681	104	11
p0046585vtkd	17	12	19	54	10
p004954887mj	49	36	55	83	10
p0097829wms3	68	26	92	45	8
p0026138dhny	107	84	110	61	8
p0093661ocpy	56	16	62	25	7
p0086132yfck	49	47	51	60	12
p0072384ofa6	107	77	112	67	12
p0052900bk2a	174	174	180	30	2
p0003864kv9y	796	415	834	54	12
p0099641pae3	49	37	55	64	10
p00210658oxi	54	42	63	49	8
p0099117d8dc	25	23	30	60	13
p0056125brzh	195	144	217	66	13
p00999097pc6	29	25	34	53	11
